pack	file	status
DarkSigWeather	ambient/soundscape/animals/birds_forest_single_4.ogg	BASE-DUP-excluded
DarkSigWeather	ambient/soundscape/animals/birds_forest_single_40.ogg	BASE-DUP-excluded
DarkSigWeather	ambient/soundscape/animals/birds_forest_single_41.ogg	BASE-DUP-excluded
DarkSigWeather	ambient/soundscape/animals/birds_forest_single_42.ogg	BASE-DUP-excluded
DarkSigWeather	ambient/soundscape/animals/birds_forest_single_43.ogg	BASE-DUP-excluded
DarkSigWeather	ambient/soundscape/animals/birds_forest_single_44.ogg	BASE-DUP-excluded
DarkSigWeather	ambient/soundscape/animals/birds_forest_single_45.ogg	BASE-DUP-excluded
DarkSigWeather	ambient/soundscape/animals/birds_forest_single_46.ogg	BASE-DUP-excluded
DarkSigWeather	ambient/soundscape/animals/birds_forest_single_47.ogg	BASE-DUP-excluded
DarkSigWeather	ambient/soundscape/animals/birds_forest_single_48.ogg	BASE-DUP-excluded
DarkSigWeather	ambient/soundscape/animals/birds_forest_single_49.ogg	BASE-DUP-excluded
DarkSigWeather	ambient/soundscape/animals/birds_forest_single_5.ogg	BASE-DUP-excluded
DarkSigWeather	ambient/soundscape/animals/birds_forest_single_50.ogg	BASE-DUP-excluded
DarkSigWeather	ambient/soundscape/animals/birds_forest_single_51.ogg	BASE-DUP-excluded
DarkSigWeather	ambient/soundscape/animals/birds_forest_single_52.ogg	BASE-DUP-excluded
DarkSigWeather	ambient/soundscape/animals/birds_forest_single_53.ogg	BASE-DUP-excluded
DarkSigWeather	ambient/soundscape/animals/birds_forest_single_54.ogg	BASE-DUP-excluded
DarkSigWeather	ambient/soundscape/animals/birds_forest_single_55.ogg	BASE-DUP-excluded
DarkSigWeather	ambient/soundscape/animals/birds_forest_single_56.ogg	BASE-DUP-excluded
DarkSigWeather	ambient/soundscape/animals/birds_forest_single_57.ogg	BASE-DUP-excluded
DarkSigWeather	ambient/soundscape/animals/birds_forest_single_58.ogg	BASE-DUP-excluded
DarkSigWeather	ambient/soundscape/animals/birds_forest_single_59.ogg	BASE-DUP-excluded
DarkSigWeather	ambient/soundscape/animals/birds_forest_single_6.ogg	BASE-DUP-excluded
DarkSigWeather	ambient/soundscape/animals/birds_forest_single_60.ogg	BASE-DUP-excluded
DarkSigWeather	ambient/soundscape/animals/birds_forest_single_61.ogg	BASE-DUP-excluded
DarkSigWeather	ambient/soundscape/animals/birds_forest_single_62.ogg	off-scope-or-dup
DarkSigWeather	ambient/soundscape/animals/birds_forest_single_63.ogg	off-scope-or-dup
DarkSigWeather	ambient/soundscape/animals/birds_forest_single_7.ogg	BASE-DUP-excluded
DarkSigWeather	ambient/soundscape/animals/birds_forest_single_8.ogg	BASE-DUP-excluded
DarkSigWeather	ambient/soundscape/animals/birds_forest_single_9.ogg	BASE-DUP-excluded
DarkSigWeather	ambient/soundscape/animals/birds_meadow_single_1.ogg	BASE-DUP-excluded
DarkSigWeather	ambient/soundscape/animals/birds_meadow_single_10.ogg	BASE-DUP-excluded
DarkSigWeather	ambient/soundscape/animals/birds_meadow_single_11.ogg	BASE-DUP-excluded
DarkSigWeather	ambient/soundscape/animals/birds_meadow_single_12.ogg	BASE-DUP-excluded
DarkSigWeather	ambient/soundscape/animals/birds_meadow_single_13.ogg	BASE-DUP-excluded
DarkSigWeather	ambient/soundscape/animals/birds_meadow_single_14.ogg	BASE-DUP-excluded
DarkSigWeather	ambient/soundscape/animals/birds_meadow_single_15.ogg	BASE-DUP-excluded
DarkSigWeather	ambient/soundscape/animals/birds_meadow_single_16.ogg	BASE-DUP-excluded
DarkSigWeather	ambient/soundscape/animals/birds_meadow_single_17.ogg	BASE-DUP-excluded
DarkSigWeather	ambient/soundscape/animals/birds_meadow_single_18.ogg	BASE-DUP-excluded
DarkSigWeather	ambient/soundscape/animals/birds_meadow_single_19.ogg	BASE-DUP-excluded
