deployed	category	orig_mod	orig_dir	orig_file	base_volume
zs\drone\all\sound_08_29c3476d68	drone	Soundscape	ambient/soundscape/underground/spooks_above/drone	sound_08	1.0
zs\drone\all\sound_09_2355596eaf	drone	Amplified	ambient/soundscape/underground/spooks_above/drone	sound_09	4.08
zs\drone\all\sound_09_50d73e72e8	drone	Soundscape	ambient/soundscape/underground/spooks_above/drone	sound_09	1.0
zs\drone\all\sound_10_b58270d2ef	drone	Amplified	ambient/soundscape/underground/spooks_above/drone	sound_10	4.08
zs\drone\all\sound_10_4404fb6043	drone	Soundscape	ambient/soundscape/underground/spooks_above/drone	sound_10	1.0
zs\drone\all\sound_11_0b757cc112	drone	Amplified	ambient/soundscape/underground/spooks_above/drone	sound_11	4.265
zs\drone\all\sound_11_9b27d0bb51	drone	Soundscape	ambient/soundscape/underground/spooks_above/drone	sound_11	1.0
zs\drone\all\sound_01_d2c3cb537a	drone	Soundscape	ambient/soundscape/underground/spooks_above/drone	sound_01	1.024
zs\drone\all\sound_02_7590e4682f	drone	Soundscape	ambient/soundscape/underground/spooks_above/drone	sound_02	1.012
zs\drone\all\sound_03_effbd260d2	drone	Soundscape	ambient/soundscape/underground/spooks_above/drone	sound_03	1.038
zs\drone\all\sound_06_fd6de647c1	drone	Soundscape	ambient/soundscape/underground/spooks_above/drone	sound_06	1.0
zs\drone\all\sound_07_b67df4c568	drone	Soundscape	ambient/soundscape/underground/spooks_above/drone	sound_07	1.0
zs\drone\all\sound_01_bb8fcdea2a	drone	Soundscape	ambient/soundscape/underground/spooks_below/drone	sound_01	0.65
zs\drone\all\sound_02_71d636a41a	drone	Soundscape	ambient/soundscape/underground/spooks_below/drone	sound_02	0.65
zs\drone\all\sound_03_2c5f8cfda7	drone	Soundscape	ambient/soundscape/underground/spooks_below/drone	sound_03	0.65
zs\drone\all\sound_04_2fe2f456c4	drone	Soundscape	ambient/soundscape/underground/spooks_below/drone	sound_04	0.65
zs\drone\all\sound_05_6c74e45e26	drone	Soundscape	ambient/soundscape/underground/spooks_below/drone	sound_05	0.65
zs\drone\all\sound_06_9220ddb700	drone	Soundscape	ambient/soundscape/underground/spooks_below/drone	sound_06	0.65
